tweet_id,author_id,tweet_by,tweet_by_verified,user_location,text,clean_tweet,sentiment_text,created_at,source,retweets,replies,likes,quote_count,hastags,mentions,subjectivity,polarity,sentiment
1528888506520592387,814961221719957504,BarbiBlanco14,False,"Ciudad Autónoma de Buenos Aires, Argentina",RT @DEBORAHKAHAN1: Alberto.... Mi hijo con discapacidad severa caminaba por las paredes en tu cuarentena eterna mientras vos te reías de no…,mi con las en tu te de,mi con la en tu te de,2022-05-23 23:59:59+00:00,Twitter for iPhone,280,0,0,0,[],['DEBORAHKAHAN1'],0.0,0.0,Neutral
1528888506327523328,1152110797293670401,mynameprada,False,الولايات المتحدة,"RT @RashaAlAqeedi: That moment the barista pronounces your name correctly for the first time and yells out ""RUSSIAAAA!"" infront of 30 peopl…",moment name correctly first time,moment name correctly first time,2022-05-23 23:59:59+00:00,Twitter Web App,1153,0,0,0,[],['RashaAlAqeedi'],0.3333333333333333,0.25,Positive
1528888506306936832,1527762084322328577,manesix123,False,,RT @Giiiiiii01: gracias mi wife por darme una crisis existencial por no estar al dia con my little pony es mejor que mi crisis existencial…,mi wife crisis al con little pony es mi crisis,mi wife crisis al con little pony e mi crisis,2022-05-23 23:59:59+00:00,Twitter Web App,1,0,0,0,[],['Giiiiiii01'],0.5,-0.1875,Negative
1528888506038120454,3293028114,12WAAA12,False,wherever the wind takes me,"Honestly, a mí me encantaría tener un novio que le guste ir a bares gays conmigo o sin mí. 😍 https://t.co/ESXW8Cakp0",honestly un sin,honestly un sin,2022-05-23 23:59:59+00:00,Twitter for Android,0,0,1,0,[],[],0.9,0.6,Positive
1528888506017320965,1034860851721850882,maraasilvero,False,"Garuhapé, Misiones",Quiero las chipitas de mi mamá igual,las de mi,la de mi,2022-05-23 23:59:59+00:00,Twitter for iPhone,0,0,0,0,[],[],0.0,0.0,Neutral
1528888505924931584,305399139,majoobaez,False,"Villarrica, Paraguay","Para mi sos un trozo de mi vida que me arrancaron sin pedírmelo y deprisa, no pude darte mas besos ni más caricias 🐾",para mi un de mi sin mas ni,para mi un de mi sin ma ni,2022-05-23 23:59:59+00:00,Twitter for iPhone,0,0,0,0,[],[],0.0,0.0,Neutral
1528888505555988480,1472327208005943297,hycrn0,False,she/her | infp,@icr3dible di mi di mi,di mi di mi,di mi di mi,2022-05-23 23:59:59+00:00,Twitter for iPhone,0,0,1,0,[],['icr3dible'],0.0,0.0,Neutral
1528888505497137152,990696123009503232,feelinforu,False,,RT @_Alexxxistiq: ¿Rico? Es ponerme en 4 para mi papi @vic_twink 👼🏻💕 me dejo mi cōlitō bien mojadito y me vine sin tocarme mñam 😳 hay segun…,es en para mi mi bien vine sin hay,e en para mi mi bien vine sin hay,2022-05-23 23:59:59+00:00,Twitter for iPhone,1356,0,0,0,[],"['_Alexxxistiq', 'vic_twink']",0.0,0.0,Neutral
1528888505317076992,1476687615361441794,gamaliel2022,False,,RT @TaxiCalienteSV: Mi primo empezó a tocarme 🥵 y terminó aguantando verga como un putito 🤤💦 https://t.co/TDWu8UQIA1,mi un,mi un,2022-05-23 23:59:59+00:00,Twitter for Android,251,0,0,0,[],['TaxiCalienteSV'],0.0,0.0,Neutral
1528888505056710657,1460484134,iQueRoxy,False,CDMX,A veces siento que mi hermana hizo su fiesta de XV como yo la hubiera querido porque no tuve🥺🥺,mi fiesta de yo la,mi fiesta de yo la,2022-05-23 23:59:59+00:00,Twitter for iPhone,0,0,0,0,[],[],0.0,0.0,Neutral
1528888505010642946,1426286769436250118,seokminovio,False,dazai t amooo,"@starjjnuni igual esta tienda m gt más porq a comparación de varias es más barato (x ejem la mayoría de tiendas tenia minisode en $40 y ahí salía en $38, además de estar en caracas entonces puedes pagar en efectivo y ahorrarte el gasto del envío nacional)",de es la de en en de en en el,de e la de en en de en en el,2022-05-23 23:59:59+00:00,Twitter for iPhone,0,0,0,0,[],['starjjnuni'],0.0,0.0,Neutral
1528888504847040513,294183728,PastelitoRk,False,Honduras,Mi cuerpo en El Progreso pero mi mente en Guatemala. 🌋 https://t.co/aHLQ0LNkzN,mi en el mi en,mi en el mi en,2022-05-23 23:59:59+00:00,Twitter for Android,0,0,0,0,[],[],0.0,0.0,Neutral
1528888504628805632,55476898,verochi09,False,Venezuela,"RT @Jason_Elmaldo: Ella es mi mamá. En resumen es cáncer y esto ha sido duro para el bolsillo y para el alma. Son exámenes tras exámenes, p…",es mi en es ha duro para el para el alma son,e mi en e ha duro para el para el alma son,2022-05-23 23:59:59+00:00,Twitter for Android,2264,0,0,0,[],['Jason_Elmaldo'],0.0,0.0,Neutral
